id,y,x0,x1,x2,x3,x4,x5,x6,x7
226,0,3,22.0,1,0,0,9.35,7,2
227,1,2,19.0,1,0,0,10.5,7,2
228,0,3,20.5,1,0,0,7.25,7,2
229,0,2,18.0,1,0,0,13.0,7,2
230,0,3,24.0,0,3,1,25.4667,7,2
231,1,1,35.0,0,1,0,83.475,2,2
232,0,3,29.0,1,0,0,7.775,7,2
233,0,2,59.0,1,0,0,13.5,7,2
234,1,3,5.0,0,4,2,31.3875,7,2
235,0,2,24.0,1,0,0,10.5,7,2
236,0,3,24.0,0,0,0,7.55,7,2
237,0,2,44.0,1,1,0,26.0,7,2
238,1,2,8.0,0,0,2,26.25,7,2
239,0,2,19.0,1,0,0,10.5,7,2
240,0,2,33.0,1,0,0,12.275,7,2
241,0,3,24.0,0,1,0,14.4542,7,0
242,1,3,24.0,0,1,0,15.5,7,1
243,0,2,29.0,1,0,0,10.5,7,2
244,0,3,22.0,1,0,0,7.125,7,2
245,0,3,30.0,1,0,0,7.225,7,0
246,0,1,44.0,1,2,0,90.0,2,1
247,0,3,25.0,0,0,0,7.775,7,2
248,1,2,24.0,0,0,2,14.5,7,2
249,1,1,37.0,1,1,1,52.5542,3,2
250,0,2,54.0,1,1,0,26.0,7,2
251,0,3,24.0,1,0,0,7.25,7,2
252,0,3,29.0,0,1,1,10.4625,6,2
253,0,1,62.0,1,0,0,26.55,2,2
254,0,3,30.0,1,1,0,16.1,7,2
255,0,3,41.0,0,0,2,20.2125,7,2
256,1,3,29.0,0,0,2,15.2458,7,0
257,1,1,24.0,0,0,0,79.2,7,0
258,1,1,30.0,0,0,0,86.5,1,2
259,1,1,35.0,0,0,0,512.3292,7,0
260,1,2,50.0,0,0,1,26.0,7,2
261,0,3,24.0,1,0,0,7.75,7,1
262,1,3,3.0,1,4,2,31.3875,7,2
263,0,1,52.0,1,1,1,79.65,4,2
264,0,1,40.0,1,0,0,0.0,1,2
265,0,3,24.0,0,0,0,7.75,7,1
266,0,2,36.0,1,0,0,10.5,7,2
267,0,3,16.0,1,4,1,39.6875,7,2
268,1,3,25.0,1,1,0,7.775,7,2
269,1,1,58.0,0,0,1,153.4625,2,2
270,1,1,35.0,0,0,0,135.6333,2,2
271,0,1,24.0,1,0,0,31.0,7,2
272,1,3,25.0,1,0,0,0.0,7,2
273,1,2,41.0,0,0,1,19.5,7,2
274,0,1,37.0,1,0,1,29.7,2,0
275,1,3,24.0,0,0,0,7.75,7,1
276,1,1,63.0,0,1,0,77.9583,3,2
277,0,3,45.0,0,0,0,7.75,7,2
278,0,2,24.0,1,0,0,0.0,7,2
279,0,3,7.0,1,4,1,29.125,7,1
280,1,3,35.0,0,1,1,20.25,7,2
281,0,3,65.0,1,0,0,7.75,7,1
282,0,3,28.0,1,0,0,7.8542,7,2
283,0,3,16.0,1,0,0,9.5,7,2
284,1,3,19.0,1,0,0,8.05,7,2
285,0,1,24.0,1,0,0,26.0,0,2
286,0,3,33.0,1,0,0,8.6625,7,0
287,1,3,30.0,1,0,0,9.5,7,2
288,0,3,22.0,1,0,0,7.8958,7,2
289,1,2,42.0,1,0,0,13.0,7,2
290,1,3,22.0,0,0,0,7.75,7,1
291,1,1,26.0,0,0,0,78.85,7,2
292,1,1,19.0,0,1,0,91.0792,1,0
293,0,2,36.0,1,0,0,12.875,3,0
294,0,3,24.0,0,0,0,8.85,7,2
295,0,3,24.0,1,0,0,7.8958,7,2
296,0,1,24.0,1,0,0,27.7208,7,0
297,0,3,23.5,1,0,0,7.2292,7,0
298,0,1,2.0,0,1,2,151.55,2,2
299,1,1,24.0,1,0,0,30.5,2,2
300,1,1,50.0,0,0,1,247.5208,1,0
301,1,3,24.0,0,0,0,7.75,7,1
302,1,3,24.0,1,2,0,23.25,7,1
303,0,3,19.0,1,0,0,0.0,7,2
304,1,2,24.0,0,0,0,12.35,4,1
305,0,3,24.0,1,0,0,8.05,7,2
306,1,1,0.92,1,1,2,151.55,2,2
307,1,1,24.0,0,0,0,110.8833,7,0
308,1,1,17.0,0,1,0,108.9,2,0
309,0,2,30.0,1,1,0,24.0,7,0
310,1,1,30.0,0,0,0,56.9292,4,0
311,1,1,24.0,0,0,0,83.1583,2,0
312,1,1,18.0,0,2,2,262.375,1,0
313,0,2,26.0,0,1,1,26.0,7,2
314,0,3,28.0,1,0,0,7.8958,7,2
315,0,2,43.0,1,1,1,26.25,7,2
316,1,3,26.0,0,0,0,7.8542,7,2
317,1,2,24.0,0,1,0,26.0,7,2
318,0,2,54.0,1,0,0,14.0,7,2
319,1,1,31.0,0,0,2,164.8667,2,2
320,1,1,40.0,0,1,1,134.5,4,0
321,0,3,22.0,1,0,0,7.25,7,2
322,0,3,27.0,1,0,0,7.8958,7,2
323,1,2,30.0,0,0,0,12.35,7,1
324,1,2,22.0,0,1,1,29.0,7,2
325,0,3,24.0,1,8,2,69.55,7,2
326,1,1,36.0,0,0,0,135.6333,2,0
327,0,3,61.0,1,0,0,6.2375,7,2
328,1,2,36.0,0,0,0,13.0,3,2
329,1,3,31.0,0,1,1,20.525,7,2
330,1,1,16.0,0,0,1,57.9792,1,0
331,1,3,24.0,0,2,0,23.25,7,1
332,0,1,45.5,1,0,0,28.5,2,2
333,0,1,38.0,1,0,1,153.4625,2,2
334,0,3,16.0,1,2,0,18.0,7,2
335,1,1,24.0,0,1,0,133.65,7,2
336,0,3,24.0,1,0,0,7.8958,7,2
337,0,1,29.0,1,1,0,66.6,2,2
338,1,1,41.0,0,0,0,134.5,4,0
339,1,3,45.0,1,0,0,8.05,7,2
340,0,1,45.0,1,0,0,35.5,8,2
341,1,2,2.0,1,1,1,26.0,5,2
342,1,1,24.0,0,3,2,263.0,2,2
343,0,2,28.0,1,0,0,13.0,7,2
344,0,2,25.0,1,0,0,13.0,7,2
345,0,2,36.0,1,0,0,13.0,7,2
346,1,2,24.0,0,0,0,13.0,5,2
347,1,2,40.0,0,0,0,13.0,7,2
348,1,3,24.0,0,1,0,16.1,7,2
349,1,3,3.0,1,1,1,15.9,7,2
350,0,3,42.0,1,0,0,8.6625,7,2
351,0,3,23.0,1,0,0,9.225,7,2
352,0,1,24.0,1,0,0,35.0,2,2
353,0,3,15.0,1,1,1,7.2292,7,0
354,0,3,25.0,1,1,0,17.8,7,2
355,0,3,24.0,1,0,0,7.225,7,0
356,0,3,28.0,1,0,0,9.5,7,2
357,1,1,22.0,0,0,1,55.0,4,2
358,0,2,38.0,0,0,0,13.0,7,2
359,1,3,24.0,0,0,0,7.8792,7,1
360,1,3,24.0,0,0,0,7.8792,7,1
361,0,3,40.0,1,1,4,27.9,7,2
362,0,2,29.0,1,1,0,27.7208,7,0
363,0,3,45.0,0,0,1,14.4542,7,0
364,0,3,35.0,1,0,0,7.05,7,2
365,0,3,24.0,1,1,0,15.5,7,1
366,0,3,30.0,1,0,0,7.25,7,2
367,1,1,60.0,0,1,0,75.25,3,0
368,1,3,24.0,0,0,0,7.2292,7,0
369,1,3,24.0,0,0,0,7.75,7,1
370,1,1,24.0,0,0,0,69.3,1,0
371,1,1,25.0,1,1,0,55.4417,4,0
372,0,3,18.0,1,1,0,6.4958,7,2
373,0,3,19.0,1,0,0,8.05,7,2
374,0,1,22.0,1,0,0,135.6333,7,0
375,0,3,3.0,0,3,1,21.075,7,2
376,1,1,24.0,0,1,0,82.1708,7,0
377,1,3,22.0,0,0,0,7.25,7,2
378,0,1,27.0,1,0,2,211.5,2,0
379,0,3,20.0,1,0,0,4.0125,7,0
380,0,3,19.0,1,0,0,7.775,7,2
381,1,1,42.0,0,0,0,227.525,7,0
382,1,3,1.0,0,0,2,15.7417,7,0
383,0,3,32.0,1,0,0,7.925,7,2
384,1,1,35.0,0,1,0,52.0,7,2
385,0,3,24.0,1,0,0,7.8958,7,2
386,0,2,18.0,1,0,0,73.5,7,2
387,0,3,1.0,1,5,2,46.9,7,2
388,1,2,36.0,0,0,0,13.0,7,2
389,0,3,24.0,1,0,0,7.7292,7,1
390,1,2,17.0,0,0,0,12.0,7,0
391,1,1,36.0,1,1,2,120.0,1,2
392,1,3,21.0,1,0,0,7.7958,7,2
393,0,3,28.0,1,2,0,7.925,7,2
394,1,1,23.0,0,1,0,113.275,3,0
395,1,3,24.0,0,0,2,16.7,6,2
396,0,3,22.0,1,0,0,7.7958,7,2
397,0,3,31.0,0,0,0,7.8542,7,2
398,0,2,46.0,1,0,0,26.0,7,2
399,0,2,23.0,1,0,0,10.5,7,2
400,1,2,28.0,0,0,0,12.65,7,2
401,1,3,39.0,1,0,0,7.925,7,2
402,0,3,26.0,1,0,0,8.05,7,2
403,0,3,21.0,0,1,0,9.825,7,2
404,0,3,28.0,1,1,0,15.85,7,2
405,0,3,20.0,0,0,0,8.6625,7,2
406,0,2,34.0,1,1,0,21.0,7,2
407,0,3,51.0,1,0,0,7.75,7,2
408,1,2,3.0,1,1,1,18.75,7,2
409,0,3,21.0,1,0,0,7.775,7,2
410,0,3,24.0,0,3,1,25.4667,7,2
411,0,3,24.0,1,0,0,7.8958,7,2
412,0,3,24.0,1,0,0,6.8583,7,1
413,1,1,33.0,0,1,0,90.0,2,1
414,0,2,24.0,1,0,0,0.0,7,2
415,1,3,44.0,1,0,0,7.925,7,2
416,0,3,24.0,0,0,0,8.05,7,2
417,1,2,34.0,0,1,1,32.5,7,2
418,1,2,18.0,0,0,2,13.0,7,2
419,0,2,30.0,1,0,0,13.0,7,2
420,0,3,10.0,0,0,2,24.15,7,2
421,0,3,24.0,1,0,0,7.8958,7,0
422,0,3,21.0,1,0,0,7.7333,7,1
423,0,3,29.0,1,0,0,7.875,7,2
424,0,3,28.0,0,1,1,14.4,7,2
425,0,3,18.0,1,1,1,20.2125,7,2
426,0,3,24.0,1,0,0,7.25,7,2
427,1,2,28.0,0,1,0,26.0,7,2
428,1,2,19.0,0,0,0,26.0,7,2
429,0,3,24.0,1,0,0,7.75,7,1
430,1,3,32.0,1,0,0,8.05,4,2
431,1,1,28.0,1,0,0,26.55,2,2
432,1,3,24.0,0,1,0,16.1,7,2
433,1,2,42.0,0,1,0,26.0,7,2
434,0,3,17.0,1,0,0,7.125,7,2
435,0,1,50.0,1,1,0,55.9,4,2
436,1,1,14.0,0,1,2,120.0,1,2
437,0,3,21.0,0,2,2,34.375,7,2
438,1,2,24.0,0,2,3,18.75,7,2
439,0,1,64.0,1,1,4,263.0,2,2
440,0,2,31.0,1,0,0,10.5,7,2
441,1,2,45.0,0,1,1,26.25,7,2
442,0,3,20.0,1,0,0,9.5,7,2
443,0,3,25.0,1,1,0,7.775,7,2
444,1,2,28.0,0,0,0,13.0,7,2
445,1,3,24.0,1,0,0,8.1125,7,2
446,1,1,4.0,1,0,2,81.8583,0,2
447,1,2,13.0,0,0,1,19.5,7,2
448,1,1,34.0,1,0,0,26.55,7,2
449,1,3,5.0,0,2,1,19.2583,7,0
450,1,1,52.0,1,0,0,30.5,2,2
451,0,2,36.0,1,1,2,27.75,7,2
452,0,3,24.0,1,1,0,19.9667,7,2
453,0,1,30.0,1,0,0,27.75,2,0
454,1,1,49.0,1,1,0,89.1042,2,0
455,0,3,24.0,1,0,0,8.05,7,2
456,1,3,29.0,1,0,0,7.8958,7,0
457,0,1,65.0,1,0,0,26.55,4,2
458,1,1,24.0,0,1,0,51.8625,3,2
459,1,2,50.0,0,0,0,10.5,7,2
460,0,3,24.0,1,0,0,7.75,7,1
461,1,1,48.0,1,0,0,26.55,4,2
462,0,3,34.0,1,0,0,8.05,7,2
463,0,1,47.0,1,0,0,38.5,4,2
464,0,2,48.0,1,0,0,13.0,7,2
465,0,3,24.0,1,0,0,8.05,7,2
466,0,3,38.0,1,0,0,7.05,7,2
467,0,2,24.0,1,0,0,0.0,7,2
468,0,1,56.0,1,0,0,26.55,7,2
469,0,3,24.0,1,0,0,7.725,7,1
470,1,3,0.75,0,2,1,19.2583,7,0
471,0,3,24.0,1,0,0,7.25,7,2
472,0,3,38.0,1,0,0,8.6625,7,2
473,1,2,33.0,0,1,2,27.75,7,2
474,1,2,23.0,0,0,0,13.7917,3,0
475,0,3,22.0,0,0,0,9.8375,7,2
476,0,1,24.0,1,0,0,52.0,0,2
477,0,2,34.0,1,1,0,21.0,7,2
478,0,3,29.0,1,1,0,7.0458,7,2
479,0,3,22.0,1,0,0,7.5208,7,2
480,1,3,2.0,0,0,1,12.2875,7,2
481,0,3,9.0,1,5,2,46.9,7,2
482,0,2,24.0,1,0,0,0.0,7,2
483,0,3,50.0,1,0,0,8.05,7,2
484,1,3,63.0,0,0,0,9.5875,7,2
485,1,1,25.0,1,1,0,91.0792,1,0
486,0,3,24.0,0,3,1,25.4667,7,2
487,1,1,35.0,0,1,0,90.0,2,2
488,0,1,58.0,1,0,0,29.7,1,0
489,0,3,30.0,1,0,0,8.05,7,2
490,1,3,9.0,1,1,1,15.9,7,2
491,0,3,24.0,1,1,0,19.9667,7,2
492,0,3,21.0,1,0,0,7.25,7,2
493,0,1,55.0,1,0,0,30.5,2,2
494,0,1,71.0,1,0,0,49.5042,7,0
495,0,3,21.0,1,0,0,8.05,7,2
496,0,3,24.0,1,0,0,14.4583,7,0
497,1,1,54.0,0,1,0,78.2667,3,0
498,0,3,24.0,1,0,0,15.1,7,2
499,0,1,25.0,0,1,2,151.55,2,2
500,0,3,24.0,1,0,0,7.7958,7,2
501,0,3,17.0,1,0,0,8.6625,7,2
502,0,3,21.0,0,0,0,7.75,7,1
503,0,3,24.0,0,0,0,7.6292,7,1
504,0,3,37.0,0,0,0,9.5875,7,2
505,1,1,16.0,0,0,0,86.5,1,2
506,0,1,18.0,1,1,0,108.9,2,0
507,1,2,33.0,0,0,2,26.0,7,2
508,1,1,24.0,1,0,0,26.55,7,2
509,0,3,28.0,1,0,0,22.525,7,2
510,1,3,26.0,1,0,0,56.4958,7,2
511,1,3,29.0,1,0,0,7.75,7,1
512,0,3,24.0,1,0,0,8.05,7,2
513,1,1,36.0,1,0,0,26.2875,4,2
514,1,1,54.0,0,1,0,59.4,7,0
515,0,3,24.0,1,0,0,7.4958,7,2
516,0,1,47.0,1,0,0,34.0208,3,2
517,1,2,34.0,0,0,0,10.5,5,2
518,0,3,24.0,1,0,0,24.15,7,1
519,1,2,36.0,0,1,0,26.0,7,2
520,0,3,32.0,1,0,0,7.8958,7,2
521,1,1,30.0,0,0,0,93.5,1,2
522,0,3,22.0,1,0,0,7.8958,7,2
523,0,3,24.0,1,0,0,7.225,7,0
524,1,1,44.0,0,0,1,57.9792,1,0
525,0,3,24.0,1,0,0,7.2292,7,0
526,0,3,40.5,1,0,0,7.75,7,1
527,1,2,50.0,0,0,0,10.5,7,2
528,0,1,24.0,1,0,0,221.7792,2,2
529,0,3,39.0,1,0,0,7.925,7,2
530,0,2,23.0,1,2,1,11.5,7,2
531,1,2,2.0,0,1,1,26.0,7,2
532,0,3,24.0,1,0,0,7.2292,7,0
533,0,3,17.0,1,1,1,7.2292,7,0
534,1,3,24.0,0,0,2,22.3583,7,0
535,0,3,30.0,0,0,0,8.6625,7,2
536,1,2,7.0,0,0,2,26.25,7,2
537,0,1,45.0,1,0,0,26.55,1,2
538,1,1,30.0,0,0,0,106.425,7,0
539,0,3,24.0,1,0,0,14.5,7,2
540,1,1,22.0,0,0,2,49.5,1,0
541,1,1,36.0,0,0,2,71.0,1,2
542,0,3,9.0,0,4,2,31.275,7,2
543,0,3,11.0,0,4,2,31.275,7,2
544,1,2,32.0,1,1,0,26.0,7,2
545,0,1,50.0,1,1,0,106.425,2,0
546,0,1,64.0,1,0,0,26.0,7,2
547,1,2,19.0,0,1,0,26.0,7,2
548,1,2,24.0,1,0,0,13.8625,7,0
549,0,3,33.0,1,1,1,20.525,7,2
550,1,2,8.0,1,1,1,36.75,7,2
551,1,1,17.0,1,0,2,110.8833,2,0
552,0,2,27.0,1,0,0,26.0,7,2
553,0,3,24.0,1,0,0,7.8292,7,1
554,1,3,22.0,1,0,0,7.225,7,0
555,1,3,22.0,0,0,0,7.775,7,2
556,0,1,62.0,1,0,0,26.55,7,2
557,1,1,48.0,0,1,0,39.6,0,0
558,0,1,24.0,1,0,0,227.525,7,0
559,1,1,39.0,0,1,1,79.65,4,2
560,1,3,36.0,0,1,0,17.4,7,2
561,0,3,24.0,1,0,0,7.75,7,1
562,0,3,40.0,1,0,0,7.8958,7,2
563,0,2,28.0,1,0,0,13.5,7,2
564,0,3,24.0,1,0,0,8.05,7,2
565,0,3,24.0,0,0,0,8.05,7,2
566,0,3,24.0,1,2,0,24.15,7,2
567,0,3,19.0,1,0,0,7.8958,7,2
568,0,3,29.0,0,0,4,21.075,7,2
569,0,3,24.0,1,0,0,7.2292,7,0
570,1,3,32.0,1,0,0,7.8542,7,2
571,1,2,62.0,1,0,0,10.5,7,2
572,1,1,53.0,0,2,0,51.4792,2,2
573,1,1,36.0,1,0,0,26.3875,4,2
574,1,3,24.0,0,0,0,7.75,7,1
575,0,3,16.0,1,0,0,8.05,7,2
576,0,3,19.0,1,0,0,14.5,7,2
577,1,2,34.0,0,0,0,13.0,7,2
578,1,1,39.0,0,1,0,55.9,4,2
579,0,3,24.0,0,1,0,14.4583,7,0
580,1,3,32.0,1,0,0,7.925,7,2
581,1,2,25.0,0,1,1,30.0,7,2
582,1,1,39.0,0,1,1,110.8833,2,0
583,0,2,54.0,1,0,0,26.0,7,2
584,0,1,36.0,1,0,0,40.125,0,0
585,0,3,24.0,1,0,0,8.7125,7,0
586,1,1,18.0,0,0,2,79.65,4,2
587,0,2,47.0,1,0,0,15.0,7,2
588,1,1,60.0,1,1,1,79.2,1,0
589,0,3,22.0,1,0,0,8.05,7,2
590,0,3,24.0,1,0,0,8.05,7,2
591,0,3,35.0,1,0,0,7.125,7,2
592,1,1,52.0,0,1,0,78.2667,3,0
593,0,3,47.0,1,0,0,7.25,7,2
594,0,3,24.0,0,0,2,7.75,7,1
595,0,2,37.0,1,1,0,26.0,7,2
596,0,3,36.0,1,1,1,24.15,7,2
597,1,2,24.0,0,0,0,33.0,7,2
598,0,3,49.0,1,0,0,0.0,7,2
599,0,3,24.0,1,0,0,7.225,7,0
600,1,1,49.0,1,1,0,56.9292,0,0
601,1,2,24.0,0,2,1,27.0,7,2
602,0,3,24.0,1,0,0,7.8958,7,2
603,0,1,24.0,1,0,0,42.4,7,2
604,0,3,44.0,1,0,0,8.05,7,2
605,1,1,35.0,1,0,0,26.55,7,0
606,0,3,36.0,1,1,0,15.55,7,2
607,0,3,30.0,1,0,0,7.8958,7,2
608,1,1,27.0,1,0,0,30.5,7,2
609,1,2,22.0,0,1,2,41.5792,7,0
610,1,1,40.0,0,0,0,153.4625,2,2
611,0,3,39.0,0,1,5,31.275,7,2
612,0,3,24.0,1,0,0,7.05,7,2
613,1,3,24.0,0,1,0,15.5,7,1
614,0,3,24.0,1,0,0,7.75,7,1
615,0,3,35.0,1,0,0,8.05,7,2
616,1,2,24.0,0,1,2,65.0,7,2
617,0,3,34.0,1,1,1,14.4,7,2
618,0,3,26.0,0,1,0,16.1,7,2
619,1,2,4.0,0,2,1,39.0,5,2
620,0,2,26.0,1,0,0,10.5,7,2
621,0,3,27.0,1,1,0,14.4542,7,0
622,1,1,42.0,1,1,0,52.5542,3,2
623,1,3,20.0,1,1,1,15.7417,7,0
624,0,3,21.0,1,0,0,7.8542,7,2
625,0,3,21.0,1,0,0,16.1,7,2
626,0,1,61.0,1,0,0,32.3208,3,2
627,0,2,57.0,1,0,0,12.35,7,1
628,1,1,21.0,0,0,0,77.9583,3,2
629,0,3,26.0,1,0,0,7.8958,7,2
630,0,3,24.0,1,0,0,7.7333,7,1
631,1,1,80.0,1,0,0,30.0,0,2
632,0,3,51.0,1,0,0,7.0542,7,2
633,1,1,32.0,1,0,0,30.5,1,0
634,0,1,24.0,1,0,0,0.0,7,2
635,0,3,9.0,0,3,2,27.9,7,2
636,1,2,28.0,0,0,0,13.0,7,2
637,0,3,32.0,1,0,0,7.925,7,2
638,0,2,31.0,1,1,1,26.25,7,2
639,0,3,41.0,0,0,5,39.6875,7,2
640,0,3,24.0,1,1,0,16.1,7,2
641,0,3,20.0,1,0,0,7.8542,7,2
642,1,1,24.0,0,0,0,69.3,1,0
643,0,3,2.0,0,3,2,27.9,7,2
644,1,3,24.0,1,0,0,56.4958,7,2
645,1,3,0.75,0,2,1,19.2583,7,0
646,1,1,48.0,1,1,0,76.7292,3,0
647,0,3,19.0,1,0,0,7.8958,7,2
648,1,1,56.0,1,0,0,35.5,0,0
649,0,3,24.0,1,0,0,7.55,7,2
650,1,3,23.0,0,0,0,7.55,7,2
651,0,3,24.0,1,0,0,7.8958,7,2
652,1,2,18.0,0,0,1,23.0,7,2
653,0,3,21.0,1,0,0,8.4333,7,2
654,1,3,24.0,0,0,0,7.8292,7,1
655,0,3,18.0,0,0,0,6.75,7,1
656,0,2,24.0,1,2,0,73.5,7,2
657,0,3,24.0,1,0,0,7.8958,7,2
658,0,3,32.0,0,1,1,15.5,7,1
659,0,2,23.0,1,0,0,13.0,7,2
660,0,1,58.0,1,0,2,113.275,3,0
661,1,1,50.0,1,2,0,133.65,7,2
662,0,3,40.0,1,0,0,7.225,7,0
663,0,1,47.0,1,0,0,25.5875,4,2
664,0,3,36.0,1,0,0,7.4958,7,2
665,1,3,20.0,1,1,0,7.925,7,2
666,0,2,32.0,1,2,0,73.5,7,2
667,0,2,25.0,1,0,0,13.0,7,2
668,0,3,24.0,1,0,0,7.775,7,2
669,0,3,43.0,1,0,0,8.05,7,2
670,1,1,24.0,0,1,0,52.0,2,2
671,1,2,40.0,0,1,1,39.0,7,2
672,0,1,31.0,1,1,0,52.0,1,2
673,0,2,70.0,1,0,0,10.5,7,2
674,1,2,31.0,1,0,0,13.0,7,2
675,0,2,24.0,1,0,0,0.0,7,2
676,0,3,18.0,1,0,0,7.775,7,2
677,0,3,24.5,1,0,0,8.05,7,2
678,1,3,18.0,0,0,0,9.8417,7,2
679,0,3,43.0,0,1,6,46.9,7,2
680,1,1,36.0,1,0,1,512.3292,1,0
681,0,3,24.0,0,0,0,8.1375,7,1
682,1,1,27.0,1,0,0,76.7292,3,0
683,0,3,20.0,1,0,0,9.225,7,2
684,0,3,14.0,1,5,2,46.9,7,2
685,0,2,60.0,1,1,1,39.0,7,2
686,0,2,25.0,1,1,2,41.5792,7,0
687,0,3,14.0,1,4,1,39.6875,7,2
688,0,3,19.0,1,0,0,10.1708,7,2
689,0,3,18.0,1,0,0,7.7958,7,2
690,1,1,15.0,0,0,1,211.3375,1,2
691,1,1,31.0,1,1,0,57.0,1,2
692,1,3,4.0,0,0,1,13.4167,7,0
693,1,3,24.0,1,0,0,56.4958,7,2
694,0,3,25.0,1,0,0,7.225,7,0
695,0,1,60.0,1,0,0,26.55,7,2
696,0,2,52.0,1,0,0,13.5,7,2
697,0,3,44.0,1,0,0,8.05,7,2
698,1,3,24.0,0,0,0,7.7333,7,1
699,0,1,49.0,1,1,1,110.8833,2,0
700,0,3,42.0,1,0,0,7.65,5,2
701,1,1,18.0,0,1,0,227.525,2,0
702,1,1,35.0,1,0,0,26.2875,4,2
703,0,3,18.0,0,0,1,14.4542,7,0
704,0,3,25.0,1,0,0,7.7417,7,1
705,0,3,26.0,1,1,0,7.8542,7,2
706,0,2,39.0,1,0,0,26.0,7,2
707,1,2,45.0,0,0,0,13.5,7,2
708,1,1,42.0,1,0,0,26.2875,4,2
709,1,1,22.0,0,0,0,151.55,7,2
710,1,3,24.0,1,1,1,15.2458,7,0
711,1,1,24.0,0,0,0,49.5042,2,0
712,0,1,24.0,1,0,0,26.55,2,2
713,1,1,48.0,1,1,0,52.0,2,2
714,0,3,29.0,1,0,0,9.4833,7,2
715,0,2,52.0,1,0,0,13.0,7,2
716,0,3,19.0,1,0,0,7.65,5,2
717,1,1,38.0,0,0,0,227.525,2,0
718,1,2,27.0,0,0,0,10.5,4,2
719,0,3,24.0,1,0,0,15.5,7,1
720,0,3,33.0,1,0,0,7.775,7,2
721,1,2,6.0,0,0,1,33.0,7,2
722,0,3,17.0,1,1,0,7.0542,7,2
723,0,2,34.0,1,0,0,13.0,7,2
724,0,2,50.0,1,0,0,13.0,7,2
725,1,1,27.0,1,1,0,53.1,4,2
726,0,3,20.0,1,0,0,8.6625,7,2
727,1,2,30.0,0,3,0,21.0,7,2
728,1,3,24.0,0,0,0,7.7375,7,1
729,0,2,25.0,1,1,0,26.0,7,2
730,0,3,25.0,0,1,0,7.925,7,2
731,1,1,29.0,0,0,0,211.3375,1,2
732,0,3,11.0,1,0,0,18.7875,7,0
733,0,2,24.0,1,0,0,0.0,7,2
734,0,2,23.0,1,0,0,13.0,7,2
735,0,2,23.0,1,0,0,13.0,7,2
736,0,3,28.5,1,0,0,16.1,7,2
737,0,3,48.0,0,1,3,34.375,7,2
738,1,1,35.0,1,0,0,512.3292,1,0
739,0,3,24.0,1,0,0,7.8958,7,2
740,0,3,24.0,1,0,0,7.8958,7,2
741,1,1,24.0,1,0,0,30.0,3,2
742,0,1,36.0,1,1,0,78.85,2,2
743,1,1,21.0,0,2,2,262.375,1,0
744,0,3,24.0,1,1,0,16.1,7,2
745,1,3,31.0,1,0,0,7.925,7,2
746,0,1,70.0,1,1,1,71.0,1,2
747,0,3,16.0,1,1,1,20.25,7,2
748,1,2,30.0,0,0,0,13.0,7,2
749,0,1,19.0,1,1,0,53.1,3,2
750,0,3,31.0,1,0,0,7.75,7,1
751,1,2,4.0,0,1,1,23.0,7,2
752,1,3,6.0,1,0,1,12.475,4,2
