id,x0,x1,x2,x3,x4,x5,x6,x7
311,1,24.0,0,0,0,83.1583,2,0
312,1,18.0,0,2,2,262.375,1,0
313,2,26.0,0,1,1,26.0,7,2
314,3,28.0,1,0,0,7.8958,7,2
315,2,43.0,1,1,1,26.25,7,2
316,3,26.0,0,0,0,7.8542,7,2
317,2,24.0,0,1,0,26.0,7,2
318,2,54.0,1,0,0,14.0,7,2
319,1,31.0,0,0,2,164.8667,2,2
320,1,40.0,0,1,1,134.5,4,0
321,3,22.0,1,0,0,7.25,7,2
322,3,27.0,1,0,0,7.8958,7,2
323,2,30.0,0,0,0,12.35,7,1
324,2,22.0,0,1,1,29.0,7,2
325,3,24.0,1,8,2,69.55,7,2
326,1,36.0,0,0,0,135.6333,2,0
327,3,61.0,1,0,0,6.2375,7,2
328,2,36.0,0,0,0,13.0,3,2
329,3,31.0,0,1,1,20.525,7,2
330,1,16.0,0,0,1,57.9792,1,0
331,3,24.0,0,2,0,23.25,7,1
332,1,45.5,1,0,0,28.5,2,2
333,1,38.0,1,0,1,153.4625,2,2
334,3,16.0,1,2,0,18.0,7,2
335,1,24.0,0,1,0,133.65,7,2
336,3,24.0,1,0,0,7.8958,7,2
337,1,29.0,1,1,0,66.6,2,2
338,1,41.0,0,0,0,134.5,4,0
339,3,45.0,1,0,0,8.05,7,2
340,1,45.0,1,0,0,35.5,8,2
341,2,2.0,1,1,1,26.0,5,2
342,1,24.0,0,3,2,263.0,2,2
343,2,28.0,1,0,0,13.0,7,2
344,2,25.0,1,0,0,13.0,7,2
345,2,36.0,1,0,0,13.0,7,2
346,2,24.0,0,0,0,13.0,5,2
347,2,40.0,0,0,0,13.0,7,2
348,3,24.0,0,1,0,16.1,7,2
349,3,3.0,1,1,1,15.9,7,2
350,3,42.0,1,0,0,8.6625,7,2
351,3,23.0,1,0,0,9.225,7,2
352,1,24.0,1,0,0,35.0,2,2
353,3,15.0,1,1,1,7.2292,7,0
354,3,25.0,1,1,0,17.8,7,2
355,3,24.0,1,0,0,7.225,7,0
356,3,28.0,1,0,0,9.5,7,2
357,1,22.0,0,0,1,55.0,4,2
358,2,38.0,0,0,0,13.0,7,2
359,3,24.0,0,0,0,7.8792,7,1
360,3,24.0,0,0,0,7.8792,7,1
361,3,40.0,1,1,4,27.9,7,2
362,2,29.0,1,1,0,27.7208,7,0
363,3,45.0,0,0,1,14.4542,7,0
364,3,35.0,1,0,0,7.05,7,2
365,3,24.0,1,1,0,15.5,7,1
366,3,30.0,1,0,0,7.25,7,2
367,1,60.0,0,1,0,75.25,3,0
368,3,24.0,0,0,0,7.2292,7,0
369,3,24.0,0,0,0,7.75,7,1
370,1,24.0,0,0,0,69.3,1,0
371,1,25.0,1,1,0,55.4417,4,0
372,3,18.0,1,1,0,6.4958,7,2
373,3,19.0,1,0,0,8.05,7,2
374,1,22.0,1,0,0,135.6333,7,0
375,3,3.0,0,3,1,21.075,7,2
376,1,24.0,0,1,0,82.1708,7,0
377,3,22.0,0,0,0,7.25,7,2
378,1,27.0,1,0,2,211.5,2,0
379,3,20.0,1,0,0,4.0125,7,0
380,3,19.0,1,0,0,7.775,7,2
381,1,42.0,0,0,0,227.525,7,0
382,3,1.0,0,0,2,15.7417,7,0
383,3,32.0,1,0,0,7.925,7,2
384,1,35.0,0,1,0,52.0,7,2
385,3,24.0,1,0,0,7.8958,7,2
386,2,18.0,1,0,0,73.5,7,2
387,3,1.0,1,5,2,46.9,7,2
388,2,36.0,0,0,0,13.0,7,2
389,3,24.0,1,0,0,7.7292,7,1
390,2,17.0,0,0,0,12.0,7,0
391,1,36.0,1,1,2,120.0,1,2
392,3,21.0,1,0,0,7.7958,7,2
393,3,28.0,1,2,0,7.925,7,2
394,1,23.0,0,1,0,113.275,3,0
395,3,24.0,0,0,2,16.7,6,2
396,3,22.0,1,0,0,7.7958,7,2
397,3,31.0,0,0,0,7.8542,7,2
398,2,46.0,1,0,0,26.0,7,2
399,2,23.0,1,0,0,10.5,7,2
400,2,28.0,0,0,0,12.65,7,2
401,3,39.0,1,0,0,7.925,7,2
402,3,26.0,1,0,0,8.05,7,2
403,3,21.0,0,1,0,9.825,7,2
404,3,28.0,1,1,0,15.85,7,2
405,3,20.0,0,0,0,8.6625,7,2
406,2,34.0,1,1,0,21.0,7,2
407,3,51.0,1,0,0,7.75,7,2
408,2,3.0,1,1,1,18.75,7,2
409,3,21.0,1,0,0,7.775,7,2
410,3,24.0,0,3,1,25.4667,7,2
411,3,24.0,1,0,0,7.8958,7,2
412,3,24.0,1,0,0,6.8583,7,1
413,1,33.0,0,1,0,90.0,2,1
414,2,24.0,1,0,0,0.0,7,2
415,3,44.0,1,0,0,7.925,7,2
416,3,24.0,0,0,0,8.05,7,2
417,2,34.0,0,1,1,32.5,7,2
418,2,18.0,0,0,2,13.0,7,2
419,2,30.0,1,0,0,13.0,7,2
420,3,10.0,0,0,2,24.15,7,2
421,3,24.0,1,0,0,7.8958,7,0
422,3,21.0,1,0,0,7.7333,7,1
423,3,29.0,1,0,0,7.875,7,2
424,3,28.0,0,1,1,14.4,7,2
425,3,18.0,1,1,1,20.2125,7,2
426,3,24.0,1,0,0,7.25,7,2
427,2,28.0,0,1,0,26.0,7,2
428,2,19.0,0,0,0,26.0,7,2
429,3,24.0,1,0,0,7.75,7,1
430,3,32.0,1,0,0,8.05,4,2
431,1,28.0,1,0,0,26.55,2,2
432,3,24.0,0,1,0,16.1,7,2
433,2,42.0,0,1,0,26.0,7,2
434,3,17.0,1,0,0,7.125,7,2
435,1,50.0,1,1,0,55.9,4,2
436,1,14.0,0,1,2,120.0,1,2
437,3,21.0,0,2,2,34.375,7,2
438,2,24.0,0,2,3,18.75,7,2
439,1,64.0,1,1,4,263.0,2,2
440,2,31.0,1,0,0,10.5,7,2
441,2,45.0,0,1,1,26.25,7,2
442,3,20.0,1,0,0,9.5,7,2
443,3,25.0,1,1,0,7.775,7,2
444,2,28.0,0,0,0,13.0,7,2
445,3,24.0,1,0,0,8.1125,7,2
446,1,4.0,1,0,2,81.8583,0,2
447,2,13.0,0,0,1,19.5,7,2
448,1,34.0,1,0,0,26.55,7,2
449,3,5.0,0,2,1,19.2583,7,0
450,1,52.0,1,0,0,30.5,2,2
451,2,36.0,1,1,2,27.75,7,2
452,3,24.0,1,1,0,19.9667,7,2
453,1,30.0,1,0,0,27.75,2,0
454,1,49.0,1,1,0,89.1042,2,0
455,3,24.0,1,0,0,8.05,7,2
456,3,29.0,1,0,0,7.8958,7,0
457,1,65.0,1,0,0,26.55,4,2
458,1,24.0,0,1,0,51.8625,3,2
459,2,50.0,0,0,0,10.5,7,2
460,3,24.0,1,0,0,7.75,7,1
461,1,48.0,1,0,0,26.55,4,2
462,3,34.0,1,0,0,8.05,7,2
463,1,47.0,1,0,0,38.5,4,2
464,2,48.0,1,0,0,13.0,7,2
465,3,24.0,1,0,0,8.05,7,2
466,3,38.0,1,0,0,7.05,7,2
467,2,24.0,1,0,0,0.0,7,2
468,1,56.0,1,0,0,26.55,7,2
469,3,24.0,1,0,0,7.725,7,1
470,3,0.75,0,2,1,19.2583,7,0
471,3,24.0,1,0,0,7.25,7,2
472,3,38.0,1,0,0,8.6625,7,2
473,2,33.0,0,1,2,27.75,7,2
474,2,23.0,0,0,0,13.7917,3,0
475,3,22.0,0,0,0,9.8375,7,2
476,1,24.0,1,0,0,52.0,0,2
477,2,34.0,1,1,0,21.0,7,2
478,3,29.0,1,1,0,7.0458,7,2
479,3,22.0,1,0,0,7.5208,7,2
480,3,2.0,0,0,1,12.2875,7,2
481,3,9.0,1,5,2,46.9,7,2
482,2,24.0,1,0,0,0.0,7,2
483,3,50.0,1,0,0,8.05,7,2
484,3,63.0,0,0,0,9.5875,7,2
485,1,25.0,1,1,0,91.0792,1,0
486,3,24.0,0,3,1,25.4667,7,2
487,1,35.0,0,1,0,90.0,2,2
488,1,58.0,1,0,0,29.7,1,0
489,3,30.0,1,0,0,8.05,7,2
490,3,9.0,1,1,1,15.9,7,2
491,3,24.0,1,1,0,19.9667,7,2
492,3,21.0,1,0,0,7.25,7,2
493,1,55.0,1,0,0,30.5,2,2
494,1,71.0,1,0,0,49.5042,7,0
495,3,21.0,1,0,0,8.05,7,2
496,3,24.0,1,0,0,14.4583,7,0
497,1,54.0,0,1,0,78.2667,3,0
498,3,24.0,1,0,0,15.1,7,2
499,1,25.0,0,1,2,151.55,2,2
500,3,24.0,1,0,0,7.7958,7,2
501,3,17.0,1,0,0,8.6625,7,2
502,3,21.0,0,0,0,7.75,7,1
503,3,24.0,0,0,0,7.6292,7,1
504,3,37.0,0,0,0,9.5875,7,2
505,1,16.0,0,0,0,86.5,1,2
506,1,18.0,1,1,0,108.9,2,0
507,2,33.0,0,0,2,26.0,7,2
508,1,24.0,1,0,0,26.55,7,2
509,3,28.0,1,0,0,22.525,7,2
510,3,26.0,1,0,0,56.4958,7,2
511,3,29.0,1,0,0,7.75,7,1
512,3,24.0,1,0,0,8.05,7,2
513,1,36.0,1,0,0,26.2875,4,2
514,1,54.0,0,1,0,59.4,7,0
515,3,24.0,1,0,0,7.4958,7,2
516,1,47.0,1,0,0,34.0208,3,2
517,2,34.0,0,0,0,10.5,5,2
518,3,24.0,1,0,0,24.15,7,1
519,2,36.0,0,1,0,26.0,7,2
520,3,32.0,1,0,0,7.8958,7,2
521,1,30.0,0,0,0,93.5,1,2
522,3,22.0,1,0,0,7.8958,7,2
523,3,24.0,1,0,0,7.225,7,0
524,1,44.0,0,0,1,57.9792,1,0
525,3,24.0,1,0,0,7.2292,7,0
526,3,40.5,1,0,0,7.75,7,1
527,2,50.0,0,0,0,10.5,7,2
528,1,24.0,1,0,0,221.7792,2,2
529,3,39.0,1,0,0,7.925,7,2
530,2,23.0,1,2,1,11.5,7,2
531,2,2.0,0,1,1,26.0,7,2
532,3,24.0,1,0,0,7.2292,7,0
533,3,17.0,1,1,1,7.2292,7,0
534,3,24.0,0,0,2,22.3583,7,0
535,3,30.0,0,0,0,8.6625,7,2
536,2,7.0,0,0,2,26.25,7,2
537,1,45.0,1,0,0,26.55,1,2
538,1,30.0,0,0,0,106.425,7,0
539,3,24.0,1,0,0,14.5,7,2
540,1,22.0,0,0,2,49.5,1,0
541,1,36.0,0,0,2,71.0,1,2
542,3,9.0,0,4,2,31.275,7,2
543,3,11.0,0,4,2,31.275,7,2
544,2,32.0,1,1,0,26.0,7,2
545,1,50.0,1,1,0,106.425,2,0
546,1,64.0,1,0,0,26.0,7,2
547,2,19.0,0,1,0,26.0,7,2
548,2,24.0,1,0,0,13.8625,7,0
549,3,33.0,1,1,1,20.525,7,2
550,2,8.0,1,1,1,36.75,7,2
551,1,17.0,1,0,2,110.8833,2,0
552,2,27.0,1,0,0,26.0,7,2
553,3,24.0,1,0,0,7.8292,7,1
554,3,22.0,1,0,0,7.225,7,0
555,3,22.0,0,0,0,7.775,7,2
556,1,62.0,1,0,0,26.55,7,2
557,1,48.0,0,1,0,39.6,0,0
558,1,24.0,1,0,0,227.525,7,0
559,1,39.0,0,1,1,79.65,4,2
560,3,36.0,0,1,0,17.4,7,2
561,3,24.0,1,0,0,7.75,7,1
562,3,40.0,1,0,0,7.8958,7,2
563,2,28.0,1,0,0,13.5,7,2
564,3,24.0,1,0,0,8.05,7,2
565,3,24.0,0,0,0,8.05,7,2
566,3,24.0,1,2,0,24.15,7,2
567,3,19.0,1,0,0,7.8958,7,2
568,3,29.0,0,0,4,21.075,7,2
569,3,24.0,1,0,0,7.2292,7,0
570,3,32.0,1,0,0,7.8542,7,2
571,2,62.0,1,0,0,10.5,7,2
572,1,53.0,0,2,0,51.4792,2,2
573,1,36.0,1,0,0,26.3875,4,2
574,3,24.0,0,0,0,7.75,7,1
575,3,16.0,1,0,0,8.05,7,2
576,3,19.0,1,0,0,14.5,7,2
577,2,34.0,0,0,0,13.0,7,2
578,1,39.0,0,1,0,55.9,4,2
579,3,24.0,0,1,0,14.4583,7,0
580,3,32.0,1,0,0,7.925,7,2
581,2,25.0,0,1,1,30.0,7,2
582,1,39.0,0,1,1,110.8833,2,0
583,2,54.0,1,0,0,26.0,7,2
584,1,36.0,1,0,0,40.125,0,0
585,3,24.0,1,0,0,8.7125,7,0
586,1,18.0,0,0,2,79.65,4,2
587,2,47.0,1,0,0,15.0,7,2
588,1,60.0,1,1,1,79.2,1,0
589,3,22.0,1,0,0,8.05,7,2
590,3,24.0,1,0,0,8.05,7,2
591,3,35.0,1,0,0,7.125,7,2
592,1,52.0,0,1,0,78.2667,3,0
593,3,47.0,1,0,0,7.25,7,2
594,3,24.0,0,0,2,7.75,7,1
595,2,37.0,1,1,0,26.0,7,2
596,3,36.0,1,1,1,24.15,7,2
597,2,24.0,0,0,0,33.0,7,2
598,3,49.0,1,0,0,0.0,7,2
599,3,24.0,1,0,0,7.225,7,0
600,1,49.0,1,1,0,56.9292,0,0
601,2,24.0,0,2,1,27.0,7,2
602,3,24.0,1,0,0,7.8958,7,2
603,1,24.0,1,0,0,42.4,7,2
604,3,44.0,1,0,0,8.05,7,2
605,1,35.0,1,0,0,26.55,7,0
606,3,36.0,1,1,0,15.55,7,2
607,3,30.0,1,0,0,7.8958,7,2
608,1,27.0,1,0,0,30.5,7,2
609,2,22.0,0,1,2,41.5792,7,0
610,1,40.0,0,0,0,153.4625,2,2
611,3,39.0,0,1,5,31.275,7,2
612,3,24.0,1,0,0,7.05,7,2
613,3,24.0,0,1,0,15.5,7,1
614,3,24.0,1,0,0,7.75,7,1
615,3,35.0,1,0,0,8.05,7,2
616,2,24.0,0,1,2,65.0,7,2
617,3,34.0,1,1,1,14.4,7,2
618,3,26.0,0,1,0,16.1,7,2
619,2,4.0,0,2,1,39.0,5,2
620,2,26.0,1,0,0,10.5,7,2
621,3,27.0,1,1,0,14.4542,7,0
622,1,42.0,1,1,0,52.5542,3,2
623,3,20.0,1,1,1,15.7417,7,0
624,3,21.0,1,0,0,7.8542,7,2
625,3,21.0,1,0,0,16.1,7,2
626,1,61.0,1,0,0,32.3208,3,2
627,2,57.0,1,0,0,12.35,7,1
628,1,21.0,0,0,0,77.9583,3,2
629,3,26.0,1,0,0,7.8958,7,2
630,3,24.0,1,0,0,7.7333,7,1
631,1,80.0,1,0,0,30.0,0,2
632,3,51.0,1,0,0,7.0542,7,2
633,1,32.0,1,0,0,30.5,1,0
634,1,24.0,1,0,0,0.0,7,2
635,3,9.0,0,3,2,27.9,7,2
636,2,28.0,0,0,0,13.0,7,2
637,3,32.0,1,0,0,7.925,7,2
638,2,31.0,1,1,1,26.25,7,2
639,3,41.0,0,0,5,39.6875,7,2
640,3,24.0,1,1,0,16.1,7,2
641,3,20.0,1,0,0,7.8542,7,2
642,1,24.0,0,0,0,69.3,1,0
643,3,2.0,0,3,2,27.9,7,2
644,3,24.0,1,0,0,56.4958,7,2
645,3,0.75,0,2,1,19.2583,7,0
646,1,48.0,1,1,0,76.7292,3,0
647,3,19.0,1,0,0,7.8958,7,2
648,1,56.0,1,0,0,35.5,0,0
649,3,24.0,1,0,0,7.55,7,2
650,3,23.0,0,0,0,7.55,7,2
651,3,24.0,1,0,0,7.8958,7,2
652,2,18.0,0,0,1,23.0,7,2
653,3,21.0,1,0,0,8.4333,7,2
654,3,24.0,0,0,0,7.8292,7,1
655,3,18.0,0,0,0,6.75,7,1
656,2,24.0,1,2,0,73.5,7,2
657,3,24.0,1,0,0,7.8958,7,2
658,3,32.0,0,1,1,15.5,7,1
659,2,23.0,1,0,0,13.0,7,2
660,1,58.0,1,0,2,113.275,3,0
661,1,50.0,1,2,0,133.65,7,2
662,3,40.0,1,0,0,7.225,7,0
663,1,47.0,1,0,0,25.5875,4,2
664,3,36.0,1,0,0,7.4958,7,2
665,3,20.0,1,1,0,7.925,7,2
666,2,32.0,1,2,0,73.5,7,2
667,2,25.0,1,0,0,13.0,7,2
668,3,24.0,1,0,0,7.775,7,2
669,3,43.0,1,0,0,8.05,7,2
670,1,24.0,0,1,0,52.0,2,2
671,2,40.0,0,1,1,39.0,7,2
672,1,31.0,1,1,0,52.0,1,2
673,2,70.0,1,0,0,10.5,7,2
674,2,31.0,1,0,0,13.0,7,2
675,2,24.0,1,0,0,0.0,7,2
676,3,18.0,1,0,0,7.775,7,2
677,3,24.5,1,0,0,8.05,7,2
678,3,18.0,0,0,0,9.8417,7,2
679,3,43.0,0,1,6,46.9,7,2
680,1,36.0,1,0,1,512.3292,1,0
681,3,24.0,0,0,0,8.1375,7,1
682,1,27.0,1,0,0,76.7292,3,0
683,3,20.0,1,0,0,9.225,7,2
684,3,14.0,1,5,2,46.9,7,2
685,2,60.0,1,1,1,39.0,7,2
686,2,25.0,1,1,2,41.5792,7,0
687,3,14.0,1,4,1,39.6875,7,2
688,3,19.0,1,0,0,10.1708,7,2
689,3,18.0,1,0,0,7.7958,7,2
690,1,15.0,0,0,1,211.3375,1,2
691,1,31.0,1,1,0,57.0,1,2
692,3,4.0,0,0,1,13.4167,7,0
693,3,24.0,1,0,0,56.4958,7,2
694,3,25.0,1,0,0,7.225,7,0
695,1,60.0,1,0,0,26.55,7,2
696,2,52.0,1,0,0,13.5,7,2
697,3,44.0,1,0,0,8.05,7,2
698,3,24.0,0,0,0,7.7333,7,1
699,1,49.0,1,1,1,110.8833,2,0
700,3,42.0,1,0,0,7.65,5,2
701,1,18.0,0,1,0,227.525,2,0
702,1,35.0,1,0,0,26.2875,4,2
703,3,18.0,0,0,1,14.4542,7,0
704,3,25.0,1,0,0,7.7417,7,1
705,3,26.0,1,1,0,7.8542,7,2
706,2,39.0,1,0,0,26.0,7,2
707,2,45.0,0,0,0,13.5,7,2
708,1,42.0,1,0,0,26.2875,4,2
709,1,22.0,0,0,0,151.55,7,2
710,3,24.0,1,1,1,15.2458,7,0
711,1,24.0,0,0,0,49.5042,2,0
712,1,24.0,1,0,0,26.55,2,2
713,1,48.0,1,1,0,52.0,2,2
714,3,29.0,1,0,0,9.4833,7,2
715,2,52.0,1,0,0,13.0,7,2
716,3,19.0,1,0,0,7.65,5,2
717,1,38.0,0,0,0,227.525,2,0
718,2,27.0,0,0,0,10.5,4,2
719,3,24.0,1,0,0,15.5,7,1
720,3,33.0,1,0,0,7.775,7,2
721,2,6.0,0,0,1,33.0,7,2
722,3,17.0,1,1,0,7.0542,7,2
723,2,34.0,1,0,0,13.0,7,2
724,2,50.0,1,0,0,13.0,7,2
725,1,27.0,1,1,0,53.1,4,2
726,3,20.0,1,0,0,8.6625,7,2
727,2,30.0,0,3,0,21.0,7,2
728,3,24.0,0,0,0,7.7375,7,1
729,2,25.0,1,1,0,26.0,7,2
730,3,25.0,0,1,0,7.925,7,2
731,1,29.0,0,0,0,211.3375,1,2
732,3,11.0,1,0,0,18.7875,7,0
733,2,24.0,1,0,0,0.0,7,2
734,2,23.0,1,0,0,13.0,7,2
735,2,23.0,1,0,0,13.0,7,2
736,3,28.5,1,0,0,16.1,7,2
737,3,48.0,0,1,3,34.375,7,2
738,1,35.0,1,0,0,512.3292,1,0
739,3,24.0,1,0,0,7.8958,7,2
740,3,24.0,1,0,0,7.8958,7,2
741,1,24.0,1,0,0,30.0,3,2
742,1,36.0,1,1,0,78.85,2,2
743,1,21.0,0,2,2,262.375,1,0
744,3,24.0,1,1,0,16.1,7,2
745,3,31.0,1,0,0,7.925,7,2
746,1,70.0,1,1,1,71.0,1,2
747,3,16.0,1,1,1,20.25,7,2
748,2,30.0,0,0,0,13.0,7,2
749,1,19.0,1,1,0,53.1,3,2
750,3,31.0,1,0,0,7.75,7,1
751,2,4.0,0,1,1,23.0,7,2
752,3,6.0,1,0,1,12.475,4,2
753,3,33.0,1,0,0,9.5,7,2
754,3,23.0,1,0,0,7.8958,7,2
755,2,48.0,0,1,2,65.0,7,2
756,2,0.67,1,1,1,14.5,7,2
757,3,28.0,1,0,0,7.7958,7,2
758,2,18.0,1,0,0,11.5,7,2
759,3,34.0,1,0,0,8.05,7,2
760,1,33.0,0,0,0,86.5,1,2
761,3,24.0,1,0,0,14.5,7,2
762,3,41.0,1,0,0,7.125,7,2
763,3,20.0,1,0,0,7.2292,7,0
764,1,36.0,0,1,2,120.0,1,2
765,3,16.0,1,0,0,7.775,7,2
766,1,51.0,0,1,0,77.9583,3,2
767,1,24.0,1,0,0,39.6,7,0
768,3,30.5,0,0,0,7.75,7,1
769,3,24.0,1,1,0,24.15,7,1
770,3,32.0,1,0,0,8.3625,7,2
771,3,24.0,1,0,0,9.5,7,2
772,3,48.0,1,0,0,7.8542,7,2
773,2,57.0,0,0,0,10.5,4,2
774,3,24.0,1,0,0,7.225,7,0
775,2,54.0,0,1,3,23.0,7,2
776,3,18.0,1,0,0,7.75,7,2
777,3,24.0,1,0,0,7.75,5,1
778,3,5.0,0,0,0,12.475,7,2
779,3,24.0,1,0,0,7.7375,7,1
780,1,43.0,0,0,1,211.3375,1,2
781,3,13.0,0,0,0,7.2292,7,0
782,1,17.0,0,1,0,57.0,1,2
783,1,29.0,1,0,0,30.0,3,2
784,3,24.0,1,1,2,23.45,7,2
785,3,25.0,1,0,0,7.05,7,2
786,3,25.0,1,0,0,7.25,7,2
787,3,18.0,0,0,0,7.4958,7,2
788,3,8.0,1,4,1,29.125,7,1
789,3,1.0,1,1,2,20.575,7,2
790,1,46.0,1,0,0,79.2,1,0
791,3,24.0,1,0,0,7.75,7,1
792,2,16.0,1,0,0,26.0,7,2
793,3,24.0,0,8,2,69.55,7,2
794,1,24.0,1,0,0,30.6958,7,0
795,3,25.0,1,0,0,7.8958,7,2
796,2,39.0,1,0,0,13.0,7,2
797,1,49.0,0,0,0,25.9292,3,2
798,3,31.0,0,0,0,8.6833,7,2
799,3,30.0,1,0,0,7.2292,7,0
800,3,30.0,0,1,1,24.15,7,2
801,2,34.0,1,0,0,13.0,7,2
802,2,31.0,0,1,1,26.25,7,2
803,1,11.0,1,1,2,120.0,1,2
804,3,0.42,1,0,1,8.5167,7,0
