id,x0,x1
476,0,2
477,7,2
478,7,2
479,7,2
480,7,2
481,7,2
482,7,2
483,7,2
484,7,2
485,1,0
486,7,2
487,2,2
488,1,0
489,7,2
490,7,2
491,7,2
492,7,2
493,2,2
494,7,0
495,7,2
496,7,0
497,3,0
498,7,2
499,2,2
500,7,2
501,7,2
502,7,1
503,7,1
504,7,2
505,1,2
506,2,0
507,7,2
508,7,2
509,7,2
510,7,2
511,7,1
512,7,2
513,4,2
514,7,0
515,7,2
516,3,2
517,5,2
518,7,1
519,7,2
520,7,2
521,1,2
522,7,2
523,7,0
524,1,0
525,7,0
526,7,1
527,7,2
528,2,2
529,7,2
530,7,2
531,7,2
532,7,0
533,7,0
534,7,0
535,7,2
536,7,2
537,1,2
538,7,0
539,7,2
540,1,0
541,1,2
542,7,2
543,7,2
544,7,2
545,2,0
546,7,2
547,7,2
548,7,0
549,7,2
550,7,2
551,2,0
552,7,2
553,7,1
554,7,0
555,7,2
556,7,2
557,0,0
558,7,0
559,4,2
560,7,2
561,7,1
562,7,2
563,7,2
564,7,2
565,7,2
566,7,2
567,7,2
568,7,2
569,7,0
570,7,2
571,7,2
572,2,2
573,4,2
574,7,1
575,7,2
576,7,2
577,7,2
578,4,2
579,7,0
580,7,2
581,7,2
582,2,0
583,7,2
584,0,0
585,7,0
586,4,2
587,7,2
588,1,0
589,7,2
590,7,2
591,7,2
592,3,0
593,7,2
594,7,1
595,7,2
596,7,2
597,7,2
598,7,2
599,7,0
600,0,0
601,7,2
602,7,2
603,7,2
604,7,2
605,7,0
606,7,2
607,7,2
608,7,2
609,7,0
610,2,2
611,7,2
612,7,2
613,7,1
614,7,1
615,7,2
616,7,2
617,7,2
618,7,2
619,5,2
620,7,2
621,7,0
622,3,2
623,7,0
624,7,2
625,7,2
626,3,2
627,7,1
628,3,2
629,7,2
630,7,1
631,0,2
632,7,2
633,1,0
634,7,2
635,7,2
636,7,2
637,7,2
638,7,2
639,7,2
640,7,2
641,7,2
642,1,0
643,7,2
644,7,2
645,7,0
646,3,0
647,7,2
648,0,0
649,7,2
650,7,2
651,7,2
652,7,2
653,7,2
654,7,1
655,7,1
656,7,2
657,7,2
658,7,1
659,7,2
660,3,0
661,7,2
662,7,0
663,4,2
664,7,2
665,7,2
666,7,2
667,7,2
668,7,2
669,7,2
670,2,2
671,7,2
672,1,2
673,7,2
674,7,2
675,7,2
676,7,2
677,7,2
678,7,2
679,7,2
680,1,0
681,7,1
682,3,0
683,7,2
684,7,2
685,7,2
686,7,0
687,7,2
688,7,2
689,7,2
690,1,2
691,1,2
692,7,0
693,7,2
694,7,0
695,7,2
696,7,2
697,7,2
698,7,1
699,2,0
700,5,2
701,2,0
702,4,2
703,7,0
704,7,1
705,7,2
706,7,2
707,7,2
708,4,2
709,7,2
710,7,0
711,2,0
712,2,2
713,2,2
714,7,2
715,7,2
716,5,2
717,2,0
718,4,2
719,7,1
720,7,2
721,7,2
722,7,2
723,7,2
724,7,2
725,4,2
726,7,2
727,7,2
728,7,1
729,7,2
730,7,2
731,1,2
732,7,0
733,7,2
734,7,2
735,7,2
736,7,2
737,7,2
738,1,0
739,7,2
740,7,2
741,3,2
742,2,2
743,1,0
744,7,2
745,7,2
746,1,2
747,7,2
748,7,2
749,3,2
750,7,1
751,7,2
752,4,2
753,7,2
754,7,2
755,7,2
756,7,2
757,7,2
758,7,2
759,7,2
760,1,2
761,7,2
762,7,2
763,7,0
764,1,2
765,7,2
766,3,2
767,7,0
768,7,1
769,7,1
770,7,2
771,7,2
772,7,2
773,4,2
774,7,0
775,7,2
776,7,2
777,5,1
778,7,2
779,7,1
780,1,2
781,7,0
782,1,2
783,3,2
784,7,2
785,7,2
786,7,2
787,7,2
788,7,1
789,7,2
790,1,0
791,7,1
792,7,2
793,7,2
794,7,0
795,7,2
796,7,2
797,3,2
798,7,2
799,7,0
800,7,2
801,7,2
802,7,2
803,1,2
804,7,0
805,7,2
806,7,2
807,0,2
808,7,2
809,7,2
810,4,2
811,7,2
812,7,2
813,7,2
814,7,2
815,7,2
816,1,2
817,7,2
818,7,0
819,7,2
820,7,2
821,1,2
822,7,2
823,7,2
824,4,2
825,7,2
826,7,1
827,7,2
828,7,0
829,7,1
830,1,2
831,7,0
832,7,2
833,7,0
834,7,2
835,7,2
836,4,0
837,7,2
838,7,2
839,7,2
840,2,0
841,7,2
842,7,2
843,7,0
844,7,0
845,7,2
846,7,2
847,7,2
848,7,0
849,7,2
850,2,0
851,7,2
852,7,2
853,7,0
854,3,2
855,7,2
856,7,2
857,7,2
858,4,2
859,7,0
860,7,0
861,7,2
862,7,2
863,3,2
864,7,2
865,7,2
866,7,2
867,7,0
868,0,2
869,7,2
870,7,2
871,7,2
872,3,2
873,1,2
874,7,2
875,7,0
876,7,0
877,7,2
878,7,2
879,7,2
880,2,0
881,7,2
882,7,2
883,7,2
884,7,2
885,7,2
886,7,1
887,7,2
888,1,2
889,7,2
890,2,0
891,7,1
