id,y,x0,x1,x2,x3
298,0,1,2.0,0,1
299,1,1,24.0,1,0
300,1,1,50.0,0,0
301,1,3,24.0,0,0
302,1,3,24.0,1,2
303,0,3,19.0,1,0
304,1,2,24.0,0,0
305,0,3,24.0,1,0
306,1,1,0.92,1,1
307,1,1,24.0,0,0
308,1,1,17.0,0,1
309,0,2,30.0,1,1
310,1,1,30.0,0,0
311,1,1,24.0,0,0
312,1,1,18.0,0,2
313,0,2,26.0,0,1
314,0,3,28.0,1,0
315,0,2,43.0,1,1
316,1,3,26.0,0,0
317,1,2,24.0,0,1
318,0,2,54.0,1,0
319,1,1,31.0,0,0
320,1,1,40.0,0,1
321,0,3,22.0,1,0
322,0,3,27.0,1,0
323,1,2,30.0,0,0
324,1,2,22.0,0,1
325,0,3,24.0,1,8
326,1,1,36.0,0,0
327,0,3,61.0,1,0
328,1,2,36.0,0,0
329,1,3,31.0,0,1
330,1,1,16.0,0,0
331,1,3,24.0,0,2
332,0,1,45.5,1,0
333,0,1,38.0,1,0
334,0,3,16.0,1,2
335,1,1,24.0,0,1
336,0,3,24.0,1,0
337,0,1,29.0,1,1
338,1,1,41.0,0,0
339,1,3,45.0,1,0
340,0,1,45.0,1,0
341,1,2,2.0,1,1
342,1,1,24.0,0,3
343,0,2,28.0,1,0
344,0,2,25.0,1,0
345,0,2,36.0,1,0
346,1,2,24.0,0,0
347,1,2,40.0,0,0
348,1,3,24.0,0,1
349,1,3,3.0,1,1
350,0,3,42.0,1,0
351,0,3,23.0,1,0
352,0,1,24.0,1,0
353,0,3,15.0,1,1
354,0,3,25.0,1,1
355,0,3,24.0,1,0
356,0,3,28.0,1,0
357,1,1,22.0,0,0
358,0,2,38.0,0,0
359,1,3,24.0,0,0
360,1,3,24.0,0,0
361,0,3,40.0,1,1
362,0,2,29.0,1,1
363,0,3,45.0,0,0
364,0,3,35.0,1,0
365,0,3,24.0,1,1
366,0,3,30.0,1,0
367,1,1,60.0,0,1
368,1,3,24.0,0,0
369,1,3,24.0,0,0
370,1,1,24.0,0,0
371,1,1,25.0,1,1
372,0,3,18.0,1,1
373,0,3,19.0,1,0
374,0,1,22.0,1,0
375,0,3,3.0,0,3
376,1,1,24.0,0,1
377,1,3,22.0,0,0
378,0,1,27.0,1,0
379,0,3,20.0,1,0
380,0,3,19.0,1,0
381,1,1,42.0,0,0
382,1,3,1.0,0,0
383,0,3,32.0,1,0
384,1,1,35.0,0,1
385,0,3,24.0,1,0
386,0,2,18.0,1,0
387,0,3,1.0,1,5
388,1,2,36.0,0,0
389,0,3,24.0,1,0
390,1,2,17.0,0,0
391,1,1,36.0,1,1
392,1,3,21.0,1,0
393,0,3,28.0,1,2
394,1,1,23.0,0,1
395,1,3,24.0,0,0
396,0,3,22.0,1,0
397,0,3,31.0,0,0
398,0,2,46.0,1,0
399,0,2,23.0,1,0
400,1,2,28.0,0,0
401,1,3,39.0,1,0
402,0,3,26.0,1,0
403,0,3,21.0,0,1
404,0,3,28.0,1,1
405,0,3,20.0,0,0
406,0,2,34.0,1,1
407,0,3,51.0,1,0
408,1,2,3.0,1,1
409,0,3,21.0,1,0
410,0,3,24.0,0,3
411,0,3,24.0,1,0
412,0,3,24.0,1,0
413,1,1,33.0,0,1
414,0,2,24.0,1,0
415,1,3,44.0,1,0
416,0,3,24.0,0,0
417,1,2,34.0,0,1
418,1,2,18.0,0,0
419,0,2,30.0,1,0
420,0,3,10.0,0,0
421,0,3,24.0,1,0
422,0,3,21.0,1,0
423,0,3,29.0,1,0
424,0,3,28.0,0,1
425,0,3,18.0,1,1
426,0,3,24.0,1,0
427,1,2,28.0,0,1
428,1,2,19.0,0,0
429,0,3,24.0,1,0
430,1,3,32.0,1,0
431,1,1,28.0,1,0
432,1,3,24.0,0,1
433,1,2,42.0,0,1
434,0,3,17.0,1,0
435,0,1,50.0,1,1
436,1,1,14.0,0,1
437,0,3,21.0,0,2
438,1,2,24.0,0,2
439,0,1,64.0,1,1
440,0,2,31.0,1,0
441,1,2,45.0,0,1
442,0,3,20.0,1,0
443,0,3,25.0,1,1
444,1,2,28.0,0,0
445,1,3,24.0,1,0
446,1,1,4.0,1,0
447,1,2,13.0,0,0
448,1,1,34.0,1,0
449,1,3,5.0,0,2
450,1,1,52.0,1,0
451,0,2,36.0,1,1
452,0,3,24.0,1,1
453,0,1,30.0,1,0
454,1,1,49.0,1,1
455,0,3,24.0,1,0
456,1,3,29.0,1,0
457,0,1,65.0,1,0
458,1,1,24.0,0,1
459,1,2,50.0,0,0
460,0,3,24.0,1,0
461,1,1,48.0,1,0
462,0,3,34.0,1,0
463,0,1,47.0,1,0
464,0,2,48.0,1,0
465,0,3,24.0,1,0
466,0,3,38.0,1,0
467,0,2,24.0,1,0
468,0,1,56.0,1,0
469,0,3,24.0,1,0
470,1,3,0.75,0,2
471,0,3,24.0,1,0
472,0,3,38.0,1,0
473,1,2,33.0,0,1
474,1,2,23.0,0,0
475,0,3,22.0,0,0
476,0,1,24.0,1,0
477,0,2,34.0,1,1
478,0,3,29.0,1,1
479,0,3,22.0,1,0
480,1,3,2.0,0,0
481,0,3,9.0,1,5
482,0,2,24.0,1,0
483,0,3,50.0,1,0
484,1,3,63.0,0,0
485,1,1,25.0,1,1
486,0,3,24.0,0,3
487,1,1,35.0,0,1
488,0,1,58.0,1,0
489,0,3,30.0,1,0
490,1,3,9.0,1,1
491,0,3,24.0,1,1
492,0,3,21.0,1,0
493,0,1,55.0,1,0
494,0,1,71.0,1,0
495,0,3,21.0,1,0
496,0,3,24.0,1,0
497,1,1,54.0,0,1
498,0,3,24.0,1,0
499,0,1,25.0,0,1
500,0,3,24.0,1,0
501,0,3,17.0,1,0
502,0,3,21.0,0,0
503,0,3,24.0,0,0
504,0,3,37.0,0,0
505,1,1,16.0,0,0
506,0,1,18.0,1,1
507,1,2,33.0,0,0
508,1,1,24.0,1,0
509,0,3,28.0,1,0
510,1,3,26.0,1,0
511,1,3,29.0,1,0
512,0,3,24.0,1,0
513,1,1,36.0,1,0
514,1,1,54.0,0,1
515,0,3,24.0,1,0
516,0,1,47.0,1,0
517,1,2,34.0,0,0
518,0,3,24.0,1,0
519,1,2,36.0,0,1
520,0,3,32.0,1,0
521,1,1,30.0,0,0
522,0,3,22.0,1,0
523,0,3,24.0,1,0
524,1,1,44.0,0,0
525,0,3,24.0,1,0
526,0,3,40.5,1,0
527,1,2,50.0,0,0
528,0,1,24.0,1,0
529,0,3,39.0,1,0
530,0,2,23.0,1,2
531,1,2,2.0,0,1
532,0,3,24.0,1,0
533,0,3,17.0,1,1
534,1,3,24.0,0,0
535,0,3,30.0,0,0
536,1,2,7.0,0,0
537,0,1,45.0,1,0
538,1,1,30.0,0,0
539,0,3,24.0,1,0
540,1,1,22.0,0,0
541,1,1,36.0,0,0
542,0,3,9.0,0,4
543,0,3,11.0,0,4
544,1,2,32.0,1,1
545,0,1,50.0,1,1
546,0,1,64.0,1,0
547,1,2,19.0,0,1
548,1,2,24.0,1,0
549,0,3,33.0,1,1
550,1,2,8.0,1,1
551,1,1,17.0,1,0
552,0,2,27.0,1,0
553,0,3,24.0,1,0
554,1,3,22.0,1,0
555,1,3,22.0,0,0
556,0,1,62.0,1,0
557,1,1,48.0,0,1
558,0,1,24.0,1,0
559,1,1,39.0,0,1
560,1,3,36.0,0,1
561,0,3,24.0,1,0
562,0,3,40.0,1,0
563,0,2,28.0,1,0
564,0,3,24.0,1,0
565,0,3,24.0,0,0
566,0,3,24.0,1,2
567,0,3,19.0,1,0
568,0,3,29.0,0,0
569,0,3,24.0,1,0
570,1,3,32.0,1,0
571,1,2,62.0,1,0
572,1,1,53.0,0,2
573,1,1,36.0,1,0
574,1,3,24.0,0,0
575,0,3,16.0,1,0
576,0,3,19.0,1,0
577,1,2,34.0,0,0
578,1,1,39.0,0,1
579,0,3,24.0,0,1
580,1,3,32.0,1,0
581,1,2,25.0,0,1
582,1,1,39.0,0,1
583,0,2,54.0,1,0
584,0,1,36.0,1,0
585,0,3,24.0,1,0
586,1,1,18.0,0,0
587,0,2,47.0,1,0
588,1,1,60.0,1,1
589,0,3,22.0,1,0
590,0,3,24.0,1,0
591,0,3,35.0,1,0
592,1,1,52.0,0,1
593,0,3,47.0,1,0
594,0,3,24.0,0,0
595,0,2,37.0,1,1
596,0,3,36.0,1,1
597,1,2,24.0,0,0
598,0,3,49.0,1,0
599,0,3,24.0,1,0
600,1,1,49.0,1,1
601,1,2,24.0,0,2
602,0,3,24.0,1,0
603,0,1,24.0,1,0
604,0,3,44.0,1,0
605,1,1,35.0,1,0
606,0,3,36.0,1,1
607,0,3,30.0,1,0
608,1,1,27.0,1,0
609,1,2,22.0,0,1
610,1,1,40.0,0,0
611,0,3,39.0,0,1
612,0,3,24.0,1,0
613,1,3,24.0,0,1
614,0,3,24.0,1,0
615,0,3,35.0,1,0
616,1,2,24.0,0,1
617,0,3,34.0,1,1
618,0,3,26.0,0,1
619,1,2,4.0,0,2
620,0,2,26.0,1,0
621,0,3,27.0,1,1
622,1,1,42.0,1,1
623,1,3,20.0,1,1
624,0,3,21.0,1,0
625,0,3,21.0,1,0
626,0,1,61.0,1,0
627,0,2,57.0,1,0
628,1,1,21.0,0,0
629,0,3,26.0,1,0
630,0,3,24.0,1,0
631,1,1,80.0,1,0
632,0,3,51.0,1,0
633,1,1,32.0,1,0
634,0,1,24.0,1,0
635,0,3,9.0,0,3
636,1,2,28.0,0,0
637,0,3,32.0,1,0
638,0,2,31.0,1,1
639,0,3,41.0,0,0
640,0,3,24.0,1,1
641,0,3,20.0,1,0
642,1,1,24.0,0,0
643,0,3,2.0,0,3
644,1,3,24.0,1,0
645,1,3,0.75,0,2
646,1,1,48.0,1,1
647,0,3,19.0,1,0
648,1,1,56.0,1,0
649,0,3,24.0,1,0
650,1,3,23.0,0,0
651,0,3,24.0,1,0
652,1,2,18.0,0,0
653,0,3,21.0,1,0
654,1,3,24.0,0,0
655,0,3,18.0,0,0
656,0,2,24.0,1,2
657,0,3,24.0,1,0
658,0,3,32.0,0,1
659,0,2,23.0,1,0
660,0,1,58.0,1,0
661,1,1,50.0,1,2
662,0,3,40.0,1,0
663,0,1,47.0,1,0
664,0,3,36.0,1,0
665,1,3,20.0,1,1
666,0,2,32.0,1,2
667,0,2,25.0,1,0
668,0,3,24.0,1,0
669,0,3,43.0,1,0
670,1,1,24.0,0,1
671,1,2,40.0,0,1
672,0,1,31.0,1,1
673,0,2,70.0,1,0
674,1,2,31.0,1,0
675,0,2,24.0,1,0
676,0,3,18.0,1,0
677,0,3,24.5,1,0
678,1,3,18.0,0,0
679,0,3,43.0,0,1
680,1,1,36.0,1,0
681,0,3,24.0,0,0
682,1,1,27.0,1,0
683,0,3,20.0,1,0
684,0,3,14.0,1,5
685,0,2,60.0,1,1
686,0,2,25.0,1,1
687,0,3,14.0,1,4
688,0,3,19.0,1,0
689,0,3,18.0,1,0
690,1,1,15.0,0,0
691,1,1,31.0,1,1
692,1,3,4.0,0,0
693,1,3,24.0,1,0
694,0,3,25.0,1,0
695,0,1,60.0,1,0
696,0,2,52.0,1,0
697,0,3,44.0,1,0
698,1,3,24.0,0,0
699,0,1,49.0,1,1
700,0,3,42.0,1,0
701,1,1,18.0,0,1
702,1,1,35.0,1,0
703,0,3,18.0,0,0
704,0,3,25.0,1,0
705,0,3,26.0,1,1
706,0,2,39.0,1,0
707,1,2,45.0,0,0
708,1,1,42.0,1,0
709,1,1,22.0,0,0
710,1,3,24.0,1,1
711,1,1,24.0,0,0
712,0,1,24.0,1,0
713,1,1,48.0,1,1
714,0,3,29.0,1,0
715,0,2,52.0,1,0
716,0,3,19.0,1,0
717,1,1,38.0,0,0
718,1,2,27.0,0,0
719,0,3,24.0,1,0
720,0,3,33.0,1,0
721,1,2,6.0,0,0
722,0,3,17.0,1,1
723,0,2,34.0,1,0
724,0,2,50.0,1,0
725,1,1,27.0,1,1
726,0,3,20.0,1,0
727,1,2,30.0,0,3
728,1,3,24.0,0,0
729,0,2,25.0,1,1
730,0,3,25.0,0,1
731,1,1,29.0,0,0
732,0,3,11.0,1,0
733,0,2,24.0,1,0
734,0,2,23.0,1,0
735,0,2,23.0,1,0
736,0,3,28.5,1,0
737,0,3,48.0,0,1
738,1,1,35.0,1,0
739,0,3,24.0,1,0
740,0,3,24.0,1,0
741,1,1,24.0,1,0
742,0,1,36.0,1,1
743,1,1,21.0,0,2
744,0,3,24.0,1,1
745,1,3,31.0,1,0
746,0,1,70.0,1,1
747,0,3,16.0,1,1
748,1,2,30.0,0,0
749,0,1,19.0,1,1
750,0,3,31.0,1,0
751,1,2,4.0,0,1
752,1,3,6.0,1,0
753,0,3,33.0,1,0
754,0,3,23.0,1,0
755,1,2,48.0,0,1
756,1,2,0.67,1,1
757,0,3,28.0,1,0
758,0,2,18.0,1,0
759,0,3,34.0,1,0
760,1,1,33.0,0,0
761,0,3,24.0,1,0
762,0,3,41.0,1,0
763,1,3,20.0,1,0
764,1,1,36.0,0,1
765,0,3,16.0,1,0
766,1,1,51.0,0,1
767,0,1,24.0,1,0
768,0,3,30.5,0,0
769,0,3,24.0,1,1
770,0,3,32.0,1,0
771,0,3,24.0,1,0
772,0,3,48.0,1,0
773,0,2,57.0,0,0
774,0,3,24.0,1,0
775,1,2,54.0,0,1
776,0,3,18.0,1,0
777,0,3,24.0,1,0
778,1,3,5.0,0,0
779,0,3,24.0,1,0
780,1,1,43.0,0,0
781,1,3,13.0,0,0
782,1,1,17.0,0,1
783,0,1,29.0,1,0
784,0,3,24.0,1,1
785,0,3,25.0,1,0
786,0,3,25.0,1,0
787,1,3,18.0,0,0
788,0,3,8.0,1,4
789,1,3,1.0,1,1
790,0,1,46.0,1,0
791,0,3,24.0,1,0
792,0,2,16.0,1,0
793,0,3,24.0,0,8
794,0,1,24.0,1,0
795,0,3,25.0,1,0
796,0,2,39.0,1,0
797,1,1,49.0,0,0
798,1,3,31.0,0,0
799,0,3,30.0,1,0
800,0,3,30.0,0,1
801,0,2,34.0,1,0
802,1,2,31.0,0,1
803,1,1,11.0,1,1
804,1,3,0.42,1,0
805,1,3,27.0,1,0
806,0,3,31.0,1,0
807,0,1,39.0,1,0
808,0,3,18.0,0,0
809,0,2,39.0,1,0
810,1,1,33.0,0,1
811,0,3,26.0,1,0
812,0,3,39.0,1,0
813,0,2,35.0,1,0
814,0,3,6.0,0,4
815,0,3,30.5,1,0
816,0,1,24.0,1,0
817,0,3,23.0,0,0
818,0,2,31.0,1,1
819,0,3,43.0,1,0
820,0,3,10.0,1,3
821,1,1,52.0,0,1
822,1,3,27.0,1,0
823,0,1,38.0,1,0
824,1,3,27.0,0,0
825,0,3,2.0,1,4
826,0,3,24.0,1,0
827,0,3,24.0,1,0
828,1,2,1.0,1,0
829,1,3,24.0,1,0
830,1,1,62.0,0,0
831,1,3,15.0,0,1
832,1,2,0.83,1,1
833,0,3,24.0,1,0
834,0,3,23.0,1,0
835,0,3,18.0,1,0
836,1,1,39.0,0,1
837,0,3,21.0,1,0
838,0,3,24.0,1,0
839,1,3,32.0,1,0
840,1,1,24.0,1,0
841,0,3,20.0,1,0
842,0,2,16.0,1,0
843,1,1,30.0,0,0
844,0,3,34.5,1,0
845,0,3,17.0,1,0
846,0,3,42.0,1,0
847,0,3,24.0,1,8
848,0,3,35.0,1,0
849,0,2,28.0,1,0
850,1,1,24.0,0,1
851,0,3,4.0,1,4
852,0,3,74.0,1,0
853,0,3,9.0,0,1
854,1,1,16.0,0,0
855,0,2,44.0,0,1
856,1,3,18.0,0,0
857,1,1,45.0,0,1
858,1,1,51.0,1,0
859,1,3,24.0,0,0
860,0,3,24.0,1,0
861,0,3,41.0,1,2
862,0,2,21.0,1,1
863,1,1,48.0,0,0
864,0,3,24.0,0,8
865,0,2,24.0,1,0
866,1,2,42.0,0,0
867,1,2,27.0,0,1
868,0,1,31.0,1,0
869,0,3,24.0,1,0
870,1,3,4.0,1,1
871,0,3,26.0,1,0
872,1,1,47.0,0,1
873,0,1,33.0,1,0
874,0,3,47.0,1,0
875,1,2,28.0,0,1
876,1,3,15.0,0,0
877,0,3,20.0,1,0
878,0,3,19.0,1,0
879,0,3,24.0,1,0
880,1,1,56.0,0,0
881,1,2,25.0,0,0
882,0,3,33.0,1,0
883,0,3,22.0,0,0
884,0,2,28.0,1,0
885,0,3,25.0,1,0
886,0,3,39.0,0,0
887,0,2,27.0,1,0
888,1,1,19.0,0,0
889,0,3,24.0,0,1
890,1,1,26.0,1,0
891,0,3,32.0,1,0
