id,x0,x1,x2,x3
311,0,83.1583,2,0
312,2,262.375,1,0
313,1,26.0,7,2
314,0,7.8958,7,2
315,1,26.25,7,2
316,0,7.8542,7,2
317,0,26.0,7,2
318,0,14.0,7,2
319,2,164.8667,2,2
320,1,134.5,4,0
321,0,7.25,7,2
322,0,7.8958,7,2
323,0,12.35,7,1
324,1,29.0,7,2
325,2,69.55,7,2
326,0,135.6333,2,0
327,0,6.2375,7,2
328,0,13.0,3,2
329,1,20.525,7,2
330,1,57.9792,1,0
331,0,23.25,7,1
332,0,28.5,2,2
333,1,153.4625,2,2
334,0,18.0,7,2
335,0,133.65,7,2
336,0,7.8958,7,2
337,0,66.6,2,2
338,0,134.5,4,0
339,0,8.05,7,2
340,0,35.5,8,2
341,1,26.0,5,2
342,2,263.0,2,2
343,0,13.0,7,2
344,0,13.0,7,2
345,0,13.0,7,2
346,0,13.0,5,2
347,0,13.0,7,2
348,0,16.1,7,2
349,1,15.9,7,2
350,0,8.6625,7,2
351,0,9.225,7,2
352,0,35.0,2,2
353,1,7.2292,7,0
354,0,17.8,7,2
355,0,7.225,7,0
356,0,9.5,7,2
357,1,55.0,4,2
358,0,13.0,7,2
359,0,7.8792,7,1
360,0,7.8792,7,1
361,4,27.9,7,2
362,0,27.7208,7,0
363,1,14.4542,7,0
364,0,7.05,7,2
365,0,15.5,7,1
366,0,7.25,7,2
367,0,75.25,3,0
368,0,7.2292,7,0
369,0,7.75,7,1
370,0,69.3,1,0
371,0,55.4417,4,0
372,0,6.4958,7,2
373,0,8.05,7,2
374,0,135.6333,7,0
375,1,21.075,7,2
376,0,82.1708,7,0
377,0,7.25,7,2
378,2,211.5,2,0
379,0,4.0125,7,0
380,0,7.775,7,2
381,0,227.525,7,0
382,2,15.7417,7,0
383,0,7.925,7,2
384,0,52.0,7,2
385,0,7.8958,7,2
386,0,73.5,7,2
387,2,46.9,7,2
388,0,13.0,7,2
389,0,7.7292,7,1
390,0,12.0,7,0
391,2,120.0,1,2
392,0,7.7958,7,2
393,0,7.925,7,2
394,0,113.275,3,0
395,2,16.7,6,2
396,0,7.7958,7,2
397,0,7.8542,7,2
398,0,26.0,7,2
399,0,10.5,7,2
400,0,12.65,7,2
401,0,7.925,7,2
402,0,8.05,7,2
403,0,9.825,7,2
404,0,15.85,7,2
405,0,8.6625,7,2
406,0,21.0,7,2
407,0,7.75,7,2
408,1,18.75,7,2
409,0,7.775,7,2
410,1,25.4667,7,2
411,0,7.8958,7,2
412,0,6.8583,7,1
413,0,90.0,2,1
414,0,0.0,7,2
415,0,7.925,7,2
416,0,8.05,7,2
417,1,32.5,7,2
418,2,13.0,7,2
419,0,13.0,7,2
420,2,24.15,7,2
421,0,7.8958,7,0
422,0,7.7333,7,1
423,0,7.875,7,2
424,1,14.4,7,2
425,1,20.2125,7,2
426,0,7.25,7,2
427,0,26.0,7,2
428,0,26.0,7,2
429,0,7.75,7,1
430,0,8.05,4,2
431,0,26.55,2,2
432,0,16.1,7,2
433,0,26.0,7,2
434,0,7.125,7,2
435,0,55.9,4,2
436,2,120.0,1,2
437,2,34.375,7,2
438,3,18.75,7,2
439,4,263.0,2,2
440,0,10.5,7,2
441,1,26.25,7,2
442,0,9.5,7,2
443,0,7.775,7,2
444,0,13.0,7,2
445,0,8.1125,7,2
446,2,81.8583,0,2
447,1,19.5,7,2
448,0,26.55,7,2
449,1,19.2583,7,0
450,0,30.5,2,2
451,2,27.75,7,2
452,0,19.9667,7,2
453,0,27.75,2,0
454,0,89.1042,2,0
455,0,8.05,7,2
456,0,7.8958,7,0
457,0,26.55,4,2
458,0,51.8625,3,2
459,0,10.5,7,2
460,0,7.75,7,1
461,0,26.55,4,2
462,0,8.05,7,2
463,0,38.5,4,2
464,0,13.0,7,2
465,0,8.05,7,2
466,0,7.05,7,2
467,0,0.0,7,2
468,0,26.55,7,2
469,0,7.725,7,1
470,1,19.2583,7,0
471,0,7.25,7,2
472,0,8.6625,7,2
473,2,27.75,7,2
474,0,13.7917,3,0
475,0,9.8375,7,2
476,0,52.0,0,2
477,0,21.0,7,2
478,0,7.0458,7,2
479,0,7.5208,7,2
480,1,12.2875,7,2
481,2,46.9,7,2
482,0,0.0,7,2
483,0,8.05,7,2
484,0,9.5875,7,2
485,0,91.0792,1,0
486,1,25.4667,7,2
487,0,90.0,2,2
488,0,29.7,1,0
489,0,8.05,7,2
490,1,15.9,7,2
491,0,19.9667,7,2
492,0,7.25,7,2
493,0,30.5,2,2
494,0,49.5042,7,0
495,0,8.05,7,2
496,0,14.4583,7,0
497,0,78.2667,3,0
498,0,15.1,7,2
499,2,151.55,2,2
500,0,7.7958,7,2
501,0,8.6625,7,2
502,0,7.75,7,1
503,0,7.6292,7,1
504,0,9.5875,7,2
505,0,86.5,1,2
506,0,108.9,2,0
507,2,26.0,7,2
508,0,26.55,7,2
509,0,22.525,7,2
510,0,56.4958,7,2
511,0,7.75,7,1
512,0,8.05,7,2
513,0,26.2875,4,2
514,0,59.4,7,0
515,0,7.4958,7,2
516,0,34.0208,3,2
517,0,10.5,5,2
518,0,24.15,7,1
519,0,26.0,7,2
520,0,7.8958,7,2
521,0,93.5,1,2
522,0,7.8958,7,2
523,0,7.225,7,0
524,1,57.9792,1,0
525,0,7.2292,7,0
526,0,7.75,7,1
527,0,10.5,7,2
528,0,221.7792,2,2
529,0,7.925,7,2
530,1,11.5,7,2
531,1,26.0,7,2
532,0,7.2292,7,0
533,1,7.2292,7,0
534,2,22.3583,7,0
535,0,8.6625,7,2
536,2,26.25,7,2
537,0,26.55,1,2
538,0,106.425,7,0
539,0,14.5,7,2
540,2,49.5,1,0
541,2,71.0,1,2
542,2,31.275,7,2
543,2,31.275,7,2
544,0,26.0,7,2
545,0,106.425,2,0
546,0,26.0,7,2
547,0,26.0,7,2
548,0,13.8625,7,0
549,1,20.525,7,2
550,1,36.75,7,2
551,2,110.8833,2,0
552,0,26.0,7,2
553,0,7.8292,7,1
554,0,7.225,7,0
555,0,7.775,7,2
556,0,26.55,7,2
557,0,39.6,0,0
558,0,227.525,7,0
559,1,79.65,4,2
560,0,17.4,7,2
561,0,7.75,7,1
562,0,7.8958,7,2
563,0,13.5,7,2
564,0,8.05,7,2
565,0,8.05,7,2
566,0,24.15,7,2
567,0,7.8958,7,2
568,4,21.075,7,2
569,0,7.2292,7,0
570,0,7.8542,7,2
571,0,10.5,7,2
572,0,51.4792,2,2
573,0,26.3875,4,2
574,0,7.75,7,1
575,0,8.05,7,2
576,0,14.5,7,2
577,0,13.0,7,2
578,0,55.9,4,2
579,0,14.4583,7,0
580,0,7.925,7,2
581,1,30.0,7,2
582,1,110.8833,2,0
583,0,26.0,7,2
584,0,40.125,0,0
585,0,8.7125,7,0
586,2,79.65,4,2
587,0,15.0,7,2
588,1,79.2,1,0
589,0,8.05,7,2
590,0,8.05,7,2
591,0,7.125,7,2
592,0,78.2667,3,0
593,0,7.25,7,2
594,2,7.75,7,1
595,0,26.0,7,2
596,1,24.15,7,2
597,0,33.0,7,2
598,0,0.0,7,2
599,0,7.225,7,0
600,0,56.9292,0,0
601,1,27.0,7,2
602,0,7.8958,7,2
603,0,42.4,7,2
604,0,8.05,7,2
605,0,26.55,7,0
606,0,15.55,7,2
607,0,7.8958,7,2
608,0,30.5,7,2
609,2,41.5792,7,0
610,0,153.4625,2,2
611,5,31.275,7,2
612,0,7.05,7,2
613,0,15.5,7,1
614,0,7.75,7,1
615,0,8.05,7,2
616,2,65.0,7,2
617,1,14.4,7,2
618,0,16.1,7,2
619,1,39.0,5,2
620,0,10.5,7,2
621,0,14.4542,7,0
622,0,52.5542,3,2
623,1,15.7417,7,0
624,0,7.8542,7,2
625,0,16.1,7,2
626,0,32.3208,3,2
627,0,12.35,7,1
628,0,77.9583,3,2
629,0,7.8958,7,2
630,0,7.7333,7,1
631,0,30.0,0,2
632,0,7.0542,7,2
633,0,30.5,1,0
634,0,0.0,7,2
635,2,27.9,7,2
636,0,13.0,7,2
637,0,7.925,7,2
638,1,26.25,7,2
639,5,39.6875,7,2
640,0,16.1,7,2
641,0,7.8542,7,2
642,0,69.3,1,0
643,2,27.9,7,2
644,0,56.4958,7,2
645,1,19.2583,7,0
646,0,76.7292,3,0
647,0,7.8958,7,2
648,0,35.5,0,0
649,0,7.55,7,2
650,0,7.55,7,2
651,0,7.8958,7,2
652,1,23.0,7,2
653,0,8.4333,7,2
654,0,7.8292,7,1
655,0,6.75,7,1
656,0,73.5,7,2
657,0,7.8958,7,2
658,1,15.5,7,1
659,0,13.0,7,2
660,2,113.275,3,0
661,0,133.65,7,2
662,0,7.225,7,0
663,0,25.5875,4,2
664,0,7.4958,7,2
665,0,7.925,7,2
666,0,73.5,7,2
667,0,13.0,7,2
668,0,7.775,7,2
669,0,8.05,7,2
670,0,52.0,2,2
671,1,39.0,7,2
672,0,52.0,1,2
673,0,10.5,7,2
674,0,13.0,7,2
675,0,0.0,7,2
676,0,7.775,7,2
677,0,8.05,7,2
678,0,9.8417,7,2
679,6,46.9,7,2
680,1,512.3292,1,0
681,0,8.1375,7,1
682,0,76.7292,3,0
683,0,9.225,7,2
684,2,46.9,7,2
685,1,39.0,7,2
686,2,41.5792,7,0
687,1,39.6875,7,2
688,0,10.1708,7,2
689,0,7.7958,7,2
690,1,211.3375,1,2
691,0,57.0,1,2
692,1,13.4167,7,0
693,0,56.4958,7,2
694,0,7.225,7,0
695,0,26.55,7,2
696,0,13.5,7,2
697,0,8.05,7,2
698,0,7.7333,7,1
699,1,110.8833,2,0
700,0,7.65,5,2
701,0,227.525,2,0
702,0,26.2875,4,2
703,1,14.4542,7,0
704,0,7.7417,7,1
705,0,7.8542,7,2
706,0,26.0,7,2
707,0,13.5,7,2
708,0,26.2875,4,2
709,0,151.55,7,2
710,1,15.2458,7,0
711,0,49.5042,2,0
712,0,26.55,2,2
713,0,52.0,2,2
714,0,9.4833,7,2
715,0,13.0,7,2
716,0,7.65,5,2
717,0,227.525,2,0
718,0,10.5,4,2
719,0,15.5,7,1
720,0,7.775,7,2
721,1,33.0,7,2
722,0,7.0542,7,2
723,0,13.0,7,2
724,0,13.0,7,2
725,0,53.1,4,2
726,0,8.6625,7,2
727,0,21.0,7,2
728,0,7.7375,7,1
729,0,26.0,7,2
730,0,7.925,7,2
731,0,211.3375,1,2
732,0,18.7875,7,0
733,0,0.0,7,2
734,0,13.0,7,2
735,0,13.0,7,2
736,0,16.1,7,2
737,3,34.375,7,2
738,0,512.3292,1,0
739,0,7.8958,7,2
740,0,7.8958,7,2
741,0,30.0,3,2
742,0,78.85,2,2
743,2,262.375,1,0
744,0,16.1,7,2
745,0,7.925,7,2
746,1,71.0,1,2
747,1,20.25,7,2
748,0,13.0,7,2
749,0,53.1,3,2
750,0,7.75,7,1
751,1,23.0,7,2
752,1,12.475,4,2
753,0,9.5,7,2
754,0,7.8958,7,2
755,2,65.0,7,2
756,1,14.5,7,2
757,0,7.7958,7,2
758,0,11.5,7,2
759,0,8.05,7,2
760,0,86.5,1,2
761,0,14.5,7,2
762,0,7.125,7,2
763,0,7.2292,7,0
764,2,120.0,1,2
765,0,7.775,7,2
766,0,77.9583,3,2
767,0,39.6,7,0
768,0,7.75,7,1
769,0,24.15,7,1
770,0,8.3625,7,2
771,0,9.5,7,2
772,0,7.8542,7,2
773,0,10.5,4,2
774,0,7.225,7,0
775,3,23.0,7,2
776,0,7.75,7,2
777,0,7.75,5,1
778,0,12.475,7,2
779,0,7.7375,7,1
780,1,211.3375,1,2
781,0,7.2292,7,0
782,0,57.0,1,2
783,0,30.0,3,2
784,2,23.45,7,2
785,0,7.05,7,2
786,0,7.25,7,2
787,0,7.4958,7,2
788,1,29.125,7,1
789,2,20.575,7,2
790,0,79.2,1,0
791,0,7.75,7,1
792,0,26.0,7,2
793,2,69.55,7,2
794,0,30.6958,7,0
795,0,7.8958,7,2
796,0,13.0,7,2
797,0,25.9292,3,2
798,0,8.6833,7,2
799,0,7.2292,7,0
800,1,24.15,7,2
801,0,13.0,7,2
802,1,26.25,7,2
803,2,120.0,1,2
804,1,8.5167,7,0
805,0,6.975,7,2
806,0,7.775,7,2
807,0,0.0,0,2
808,0,7.775,7,2
809,0,13.0,7,2
810,0,53.1,4,2
811,0,7.8875,7,2
812,0,24.15,7,2
813,0,10.5,7,2
814,2,31.275,7,2
815,0,8.05,7,2
816,0,0.0,1,2
817,0,7.925,7,2
818,1,37.0042,7,0
819,0,6.45,7,2
820,2,27.9,7,2
821,1,93.5,1,2
822,0,8.6625,7,2
823,0,0.0,7,2
824,1,12.475,4,2
825,1,39.6875,7,2
826,0,6.95,7,1
827,0,56.4958,7,2
828,2,37.0042,7,0
829,0,7.75,7,1
830,0,80.0,1,2
831,0,14.4542,7,0
832,1,18.75,7,2
833,0,7.2292,7,0
834,0,7.8542,7,2
835,0,8.3,7,2
836,1,83.1583,4,0
837,0,8.6625,7,2
838,0,8.05,7,2
839,0,56.4958,7,2
840,0,29.7,2,0
841,0,7.925,7,2
842,0,10.5,7,2
843,0,31.0,7,0
844,0,6.4375,7,0
845,0,8.6625,7,2
846,0,7.55,7,2
847,2,69.55,7,2
848,0,7.8958,7,0
849,1,33.0,7,2
850,0,89.1042,2,0
851,2,31.275,7,2
852,0,7.775,7,2
853,1,15.2458,7,0
854,1,39.4,3,2
855,0,26.0,7,2
856,1,9.35,7,2
857,1,164.8667,7,2
858,0,26.55,4,2
859,3,19.2583,7,0
860,0,7.2292,7,0
861,0,14.1083,7,2
862,0,11.5,7,2
863,0,25.9292,3,2
864,2,69.55,7,2
865,0,13.0,7,2
866,0,13.0,7,2
867,0,13.8583,7,0
868,0,50.4958,0,2
869,0,9.5,7,2
870,1,11.1333,7,2
871,0,7.8958,7,2
872,1,52.5542,3,2
873,0,5.0,1,2
874,0,9.0,7,2
875,0,24.0,7,0
876,0,7.225,7,0
877,0,9.8458,7,2
878,0,7.8958,7,2
879,0,7.8958,7,2
880,1,83.1583,2,0
881,1,26.0,7,2
882,0,7.8958,7,2
883,0,10.5167,7,2
884,0,10.5,7,2
885,0,7.05,7,2
886,5,29.125,7,1
887,0,13.0,7,2
888,0,30.0,1,2
889,2,23.45,7,2
890,0,30.0,2,0
891,0,7.75,7,1
